Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments
ServiceMix                                      ,SM           ,3662      ,6016        ,1.642818132168214 ,3133                ,1.9202042770507501     ,0          ,69         ,0.1444565811032223
Shale                                           ,SHALE        ,497       ,1227        ,2.4688128772635816,411                 ,2.9854014598540144     ,0          ,29         ,0.17303822937625754
Shindig                                         ,SHINDIG      ,1979      ,6302        ,3.1844365841334006,1803                ,3.49528563505269       ,0          ,45         ,0.08893380495199596
Shiro                                           ,SHIRO        ,740       ,2044        ,2.7621621621621624,559                 ,3.6565295169946332     ,0          ,34         ,0.2445945945945946
Sling                                           ,SLING        ,9064      ,27176       ,2.998234774933804 ,8171                ,3.3259087015053237     ,0          ,113        ,0.0985216240070609
Solr                                            ,SOLR         ,14162     ,115627      ,8.16459539613049  ,12825               ,9.015750487329434      ,0          ,422        ,0.09440756955232311
Spark                                           ,SPARK        ,30512     ,102541      ,3.3606777661248035,27964               ,3.6668931483335716     ,0          ,126        ,0.08350812794965914
Sqoop                                           ,SQOOP        ,3130      ,15802       ,5.048562300319489 ,2579                ,6.127181077937185      ,0          ,65         ,0.17603833865814697
Stanbol                                         ,STANBOL      ,1473      ,2747        ,1.8649015614392397,1205                ,2.279668049792531      ,0          ,32         ,0.18194161575016973
Stratos                                         ,STRATOS      ,1662      ,2601        ,1.5649819494584838,1312                ,1.982469512195122      ,0          ,29         ,0.21058965102286403
Synapse                                         ,SYNAPSE      ,1109      ,3406        ,3.0712353471596034,1045                ,3.25933014354067       ,0          ,25         ,0.057709648331830475
Syncope                                         ,SYNCOPE      ,1538      ,7833        ,5.09297789336801  ,1496                ,5.23596256684492       ,0          ,166        ,0.027308192457737322
Tajo                                            ,TAJO         ,2182      ,16165       ,7.408340971585702 ,1915                ,8.441253263707571      ,0          ,142        ,0.1223648029330889
Tapestry                                        ,TAPESTRY     ,2499      ,4470        ,1.7887154861944778,1868                ,2.392933618843683      ,0          ,33         ,0.25250100040016005
Texen                                           ,TEXEN        ,19        ,71          ,3.736842105263158 ,15                  ,4.733333333333333      ,0          ,12         ,0.21052631578947367
Thrift                                          ,THRIFT       ,5102      ,27163       ,5.323990591924735 ,4583                ,5.926903774819987      ,0          ,124        ,0.1017248137985104
Tika                                            ,TIKA         ,3041      ,16612       ,5.462676751068727 ,2808                ,5.915954415954416      ,0          ,133        ,0.07661953304833936
Tiles                                           ,TILES        ,578       ,1484        ,2.5674740484429064,559                 ,2.6547406082289804     ,0          ,30         ,0.0328719723183391
TomEE                                           ,TOMEE        ,2747      ,4387        ,1.5970149253731343,1339                ,3.2763256161314414     ,0          ,56         ,0.5125591554423007
Torque                                          ,TORQUE       ,359       ,615         ,1.713091922005571 ,227                 ,2.709251101321586      ,0          ,19         ,0.36768802228412256
Turbine                                         ,TRB          ,100       ,233         ,2.33              ,90                  ,2.588888888888889      ,0          ,9          ,0.1
Tuscany                                         ,TUSCANY      ,4082      ,11093       ,2.7175404213620773,3694                ,3.002977801840823      ,0          ,41         ,0.0950514453699167
UIMA                                            ,UIMA         ,6182      ,11099       ,1.795373665480427 ,4214                ,2.633839582344566      ,0          ,78         ,0.318343578130055
Velocity                                        ,VELOCITY     ,862       ,3627        ,4.207656612529003 ,833                 ,4.354141656662665      ,0          ,34         ,0.033642691415313224
Velocity Tools                                  ,VELTOOLS     ,182       ,687         ,3.7747252747252746,178                 ,3.859550561797753      ,0          ,18         ,0.02197802197802198
VXQuery                                         ,VXQUERY      ,243       ,510         ,2.0987654320987654,160                 ,3.1875                 ,0          ,45         ,0.34156378600823045
Wicket                                          ,WICKET       ,6741      ,25847       ,3.8342975819611333,5882                ,4.394253655219313      ,0          ,99         ,0.12742916481234237
Wink                                            ,WINK         ,439       ,1442        ,3.284738041002278 ,383                 ,3.765013054830287      ,0          ,20         ,0.1275626423690205
Woden                                           ,WODEN        ,243       ,886         ,3.646090534979424 ,217                 ,4.082949308755761      ,0          ,30         ,0.10699588477366255
Wookie                                          ,WOOKIE       ,425       ,1479        ,3.48              ,404                 ,3.660891089108911      ,0          ,24         ,0.04941176470588235
XMLBeans                                        ,XMLBEANS     ,547       ,1363        ,2.4917733089579523,456                 ,2.9890350877192984     ,0          ,26         ,0.1663619744058501
Yetus                                           ,YETUS        ,934       ,5416        ,5.7987152034261245,723                 ,7.491009681881051      ,0          ,71         ,0.2259100642398287
Zeppelin                                        ,ZEPPELIN     ,4624      ,27258       ,5.894896193771626 ,3534                ,7.713073005093379      ,0          ,123        ,0.23572664359861592
ZooKeeper                                       ,ZOOKEEPER    ,3688      ,35457       ,9.614154013015185 ,3205                ,11.063026521060843     ,0          ,240        ,0.1309652928416486
